s,,,
STT,Tên sách,Link,
8,Froggy - 10 books,https://drive.google.com/drive/folders/1NZ-OucD4jGs8JfxyrQPkd3WfVJWlTLbZ?fbclid=IwAR3OKgpFC_85ZXpu712wZSGELR5inYkIaF9ypYphfBLRPlnC0upydaTgx7E,
9,Farmyard tales 20q:,https://drive.google.com/file/d/1dXvhqDxaRKrnZ6_dtFo8IcTqfx-bZE4a/view?fbclid=IwAR0KZxUnQo75yl3Qw-tnT_U5FDjkhVUzrBcklArXqTU_R7V3FX9975_dGXs,
10,Bộ Xanh - Usborne xanh: ,https://drive.google.com/file/d/1BPy3wuzJnpkU5HVxoTckxIWj1eVR-dE0/view?usp=sharing,
11,Bộ Đỏ - Usborne đỏ:,https://drive.google.com/file/d/1w7_9nUHrJeDm7QPdZoZeNCYa20VCOZ32/view?usp=sharing,
12,Bộ Vàng - Usborne vàng:,https://drive.google.com/file/d/1xEER1HJ2ub7nb_FsKlNQQ2xnmUN5AW6X/view?usp=sharing,
13,Bộ Tím - Usborne tím:,https://drive.google.com/file/d/1iVGalQ_QEeSHVZGIFr1vAFC3WxgaivK_/view?usp=sharing,
14,Elephant and piggie - 25books:,https://drive.google.com/file/d/1q62tiM2gZ5MfcvzskdISf5DyU7RC63Rm/view?fbclid=IwAR0k53sgn6uPiZ9VcnK3QEMj__0qHDwk9tWDCnPbudJ3p3NTv6bL2axv2Nk,
15,Pete the cat - New 19 books:,https://drive.google.com/file/d/1VOjjz2FNgTE3kLmHYbAKjB19mqBUZyPO/view?usp=sharing,
16,Pete the cat phonics - 12 books: ,https://drive.google.com/file/d/1R3l2tx59tt10FC1MKQ92nC8q3VaUB4Th/view?usp=sharing,
17,Biscuit i can read - 23 books (20q có file nghe): ,https://drive.google.com/file/d/1MZRM0yhqP4JQDPzY6R-ahK9pOZWQcj0a/view?usp=sharing,
18,When I am feeling - New 10 books:,https://drive.google.com/file/d/1ta7do9ejhAOBB5QbdXupR8quT2uWcsno/view?usp=sharing,
19,How Do Dinosaur - 6 books:,https://drive.google.com/file/d/1UuT7-KUD10tjYbPs_zKj06FY16NknAyD/view?usp=sharing,
20,I wonder why - 24 books,https://drive.google.com/drive/folders/1akfWbrrgxyvU-ZWieAh3xq8re3Mn5nE-,
21,I can read - 19 books +CD:,https://drive.google.com/drive/folders/1EQSl7BRi9kW4qU7xEIgHiAEQjed4yfHL?fbclid=IwAR0ggW45jlU7JPQNp_0Ci2OUgASBcES3AckxJ3ELNJqpU59Fyb1cucPykew,
22,Maisy - 12 books: ,https://drive.google.com/drive/folders/17l6uYtH_zV7xmq0Td1GZcWVJJFmpry_r?fbclid=IwAR22T8I-UjFDHTo6jYbILLSrrEz14PMpURnm3lODAmIQVbbcZmJYBpVoP-w,
23,Step into reading 2 - 30 books:,https://drive.google.com/file/d/0Bw7fnDInlcGqOWdHSnFiYmM0TGc/view?fbclid=IwAR1hffXgWiW64u7xQcnW3qGrlql7gYUkZgnLf5Q6xjUolzeIrlyQSghd2M0&resourcekey=0-irAqyCMq4eWdCdXjC8jpRA,
24,Nate the great - Bản mới 29 books (Có hộp đựng): ,https://drive.google.com/file/d/1pEVNAvI7Rkna26YCmDE7WTZuw9egUV1x/view?usp=sharing,
25,Caillou - 20 books:,https://drive.google.com/file/d/1uLpzF6T207p8n8o_WC3kwDTbOZ7JTGkj/view,
26,Pigeon - Bộ mới 7 books về chú chim bồ câu :,https://drive.google.com/open?id=1sjDapg226dsflcKxhvAw7uknQdGN6yIu,
27,I am library - 10 books ,https://drive.google.com/drive/folders/1nqxdhxYh827j6mXrH27QUCu6V9dLbXK4?fbclid=IwAR33YAQORTJHygMfPviPkQWsFa7TJn3ZFSVVZxBBPcA9j6l4aV6QTpgsrkg,
28,National geographic - Pre K - 30 books: ,https://drive.google.com/file/d/1d1YZd_x-6DXTUAb7r9as4hnrI3D8pyGT/view?usp=sharing,
29,National geographic - Level 1 - 39 books: ,https://drive.google.com/file/d/1B8ErKUwnhQEzvdBJLi2uD6jyFJyPLwsq/view?usp=sharing,
30,National geographic - Level 2 - 38 books: ,https://drive.google.com/file/d/1Qp8nSwJ3h4fxegFf169GdKxMm9CwX9Fv/view?usp=sharing,
31,Mr Men - 50 books:,https://drive.google.com/file/d/1yXwth4Go1gCjwP-HEw26Kxkv3o5YosPJ/view?usp=sharing,
32,Little Miss - 37 books:,https://drive.google.com/file/d/1nMWQ5Ao6vPxKP8QKW7HSSJDE_Xqn71Un/view?usp=sharing,
33,"
Sight word readers - 26 books",https://drive.google.com/file/d/1Gxd1rOXqMWmtV0hkPzM_SF2vNlPpMtej/view?usp=sharing,
34,Five little Monkey,https://drive.google.com/file/d/1zwD7zd13R7pVxAXN6RP9gzUqxJ6rodyn/view?usp=sharing,
35,I can read mini - 84 books:,https://drive.google.com/file/d/17H-IdFY4xLDBE3HnvD4w5-y_tl9qSMp7/view?usp=sharing,
36,Usborne Beginners science boxset - 10 books,https://onedrive.live.com/?authkey=%21AJg8OGHW1jIqfIo&id=E8E33F55EE691CE1%2128126&cid=E8E33F55EE691CE1,
37,Science readers ABCDEF - 5 boxset,"https://drive.google.com/drive/folders/1sfQM9y3PdJ6hY0bxZJacPH-GLiT37m7a?fbclid=IwAR3NJjvNx-OjmEck0EIlEHv0vfBLi4re7pnujfU_kLO_i30nckWas6WEzeE
",
38,Lets find out - 24 books - level 1,https://drive.google.com/file/d/1nOMFk12oYIaK4FyOw0fOIk3CKKCoxqec/view,
39,Petter Rabbit - 23 books: ,https://drive.google.com/file/d/14YhmqtnlyuXlgnE1Z888Vqvk3c7r3raB/view,
40,Science vocabulary reader 30q (24/30q có file nghe):,https://drive.google.com/file/d/14IBgjDwa94GphQiiM5y8XN3beQJ0A5Vt/view?fbclid=IwAR2z1pmJl58YgzAwuhyB_XkXON7z-fqyXfh0qFhMUpdV940yR94Bm-Bd-5I,
41,Peppa pig 20 quyển + 2CD:,https://drive.google.com/drive/u/0/folders/1E3M-rO9AKLWJnukYsXBVbyiRdQpLou3S?fbclid=IwAR06ZNM1pnIHpcXnGgyR82Vu4-jddb5FDkG3SIdt00Ph0PFPprrJUqfDcVw&direction=a,
42,3q còn lại của Peppa,https://drive.google.com/open?id=13cGGqvKC0jmWC59UVeyNiEtsKRWrai5B,
,peppa đỏ,https://drive.google.com/drive/folders/1aTOYtUnRCZO1JsK3zPoOXqg6J6gsjUbr,
,peppa pig kèm túi ,https://drive.google.com/drive/folders/1nS0agH_Le3wqv2N5WJ1v0F3OJfbZp_Au,
43,Harry potter - 7 books,https://drive.google.com/file/d/1eArViRetYJwtcHVAs_zLq3KAJ9e9nW_K/view?usp=sharing,
,Harry potter - 8 books NK ,https://drive.google.com/drive/folders/0Bx8RePQCi0zsa2c0T24wZ3B5Tm8?fbclid=IwAR0QZOANs0UXdEHrIL4SywjP-J47oZgm2uzkd9efOB5rfvpLyQB397iDouU,
44,Fly Guy - 17 books,https://drive.google.com/drive/u/0/folders/1arco1Uo6fLV0DE8JyAKiVOWjOXXB4jmG?fbclid=IwAR3Onz4ThjhPjvsHWAfWfqW27t5gw-XB0ZZshv0VDd8cqgJjyMWvVqMvus4,
45,Folk & Fairy Tale- Easy readers - 15 books:,https://drive.google.com/open?id=1NRkYrickyVXOvho8YD4lYijvvKjam7PY,
46,Oxford read and discover - Level 1 - 20 books,https://drive.google.com/file/d/1RvkXCVNjCpnO0ygPIgfb9fHJrorUuHN7/view?usp=sharing,
47,Oxford read and discover - Level 2 - 20 books,https://drive.google.com/file/d/1vYxB-gE-rP58vlfGcRGADyzF8N03DztK/view?usp=sharing,
48,Oxford read and discover - Level 3 - 20 books,https://drive.google.com/file/d/15zJgPOWhHepBtV5Pr9ExkAi74FN8gz0c/view?usp=sharing,
49,Oxford read and discover - Level 4 - 20 books,https://drive.google.com/file/d/1Tzx-3yBUzNOiL7YPDiFZKTM7L7pnjcrJ/view?usp=sharing,
50,Oxford read and discover - Level 5 - 14 books: ,https://drive.google.com/file/d/1wLXWqCNVHCSIuzwUDB5MA6yA6AWyfj2L/view?usp=sharing,
51,Oxford read and discover - Level 1 đến 6: ,https://drive.google.com/drive/folders/19heat-vlOKUO_8ERiKcnRZYHX5ocH0AN,
52,Diary of a wimpy kid - 16 books: ,https://drive.google.com/file/d/1dOcBInLGMioCzUhuN1d7koy3k7grOxlr/view,
53,I can read 2 - Amelia - 28 books: ,https://drive.google.com/file/d/1Vh4zqdZ3iSiNYNjMCj_RcoO8ezoBk9pJ/view,
54,My weird school daze - Level 1 - 21 books ,https://drive.google.com/file/d/11gx1diRrEeOExyAaYgHWMiFxPl8EuKsQ/view?usp=sharing,
55,Usborne very first words - 10 books,https://drive.google.com/drive/u/0/folders/12FFE05WcFCg4P5TfbgSTq8HGlSSPQi7l,
56,Magic tree house 1~28,https://drive.google.com/file/d/1VVElcPlY1jVl-qtAG6k-bZKz74rFT5z-/view?usp=sharing,
57,Magic tree house 29~55: ,https://drive.google.com/file/d/1xTxztQMK30qGNnS-CmykdKSqaURFXPm3/view?usp=sharing,
58,Horrid Henry - 25 books ,https://drive.google.com/file/d/1DCO0I9bm3BcLx2kjVSe5uHio7e7Lqfu6/view?usp=sharing,
59,The magic school bus 1+2 - 20 books,https://drive.google.com/file/d/1o6IZHOWPd50L23XeHoFghBOMcNdTKnSA/view?usp=sharing,
60,Oxford story tree 1->3 - 52 books,https://drive.google.com/file/d/1NHctYA_aWX9L75lM4U2Ho15h7TrwnBFv/view?usp=sharing,
61,Oxford story tree 4->7 - 52 books,https://drive.google.com/file/d/1NHctYA_aWX9L75lM4U2Ho15h7TrwnBFv/view?usp=sharingg,
62,Tom Gates - 10 books,https://www.youtube.com/watch?v=Dou6OVlHaLU&feature=youtu.be,
63,Dragon Masters - 20 books,https://drive.google.com/drive/folders/1FbwFSWe-w0hI0NpS8V6pUzVfUMA6MJ6y?usp=sharing,
64,"Biff, Chip & Kipper 1->3 - 33 books - Oxford reading tree",https://drive.google.com/file/d/1KFwItbhqH9LK5A4pngXpw6vd8XZi9PHR/view?usp=sharing,
65,"Biff, Chip & Kipper 4->6 - 25 books - Oxford reading tree: ",https://drive.google.com/file/d/14FsjEf9owZ3G083UcTlWtCFUWeKdtFMV/view?usp=sharing,
66,Reading explorer 6c - second edition,https://drive.google.com/drive/u/0/folders/108bYZoOFg5x_z9syzO1Gp1OEGSbw4BgD?fbclid=IwAR06yerV1seQZH2R61haawkAvmRI65XThDRmoCYhEjig8OlY4hY8eN2S7Qo,
67,Reading explorer - Answer Key 1~3: ,https://drive.google.com/file/d/1UwSSVSjSG_BqEBlin6o4-sjBefcYDFyX/view?usp=sharing,
68,Reading explorer 3rd - Mp3 - Full 6c,https://drive.google.com/file/d/1-zNVdoKDnvy83k6wbEMi46ry8a5dCYtG/view?usp=sharing,
69,One story a day - Level 1 - 12 books: ,https://drive.google.com/file/d/1Vq5SUzOaysxjuhc68hpcol2e3BFc-U7A/view?usp=sharing,
70,One story a day - Level 2 - 12 books: ,https://drive.google.com/file/d/1va4qbrnPBEALTqL3i4rA0elGH5z8PEQL/view?usp=sharing,
71,One story a day - Level 3 - 12 books,https://drive.google.com/file/d/13f7p3zQLh1RasKaJytD-SW4adaU4CeTV/view?usp=sharing,
72,4000 Essential English Words - 6 books,https://drive.google.com/file/d/1ISe3pP8p3K5h_7vHs364FsBw4VXdXWLD/view?usp=sharing,
,4000 Essential English Words,https://drive.google.com/drive/u/0/folders/1W6DxAfPwOG_OfnRsW4IrKg76XzI1yjLo?zarsrc=30&fbclid=IwAR1SUxxTTtj9fx3XQPSGadpD7nMXjLM0XZfAOg6Z8UCKfMbiPh4LmryrgdU,
73,Great Writing 6c - Answer key: ,https://drive.google.com/file/d/1NwjJsyxFI--XfQZI6isXCo-1a--wn4p4/view?usp=sharing,
74,Peppa Pig 50c hộp xanh: ,https://drive.google.com/file/d/1qMdDSz8JKbGqUceci5zkOnEbmzCEN0RY/view?usp=sharing,
75,Peppa Pig 50c hộp vàng: ,https://drive.google.com/drive/folders/1aHn7fLyYsat86JvDsN806VIggPZr5Jwp?fbclid=IwAR3PZyO8rBm9NzibRM98X2Pfqrw2A_qxL1Dh9qkt2Mj6r8YsR7EqKYkxyt0,
,Peppa đỏ ,https://drive.google.com/drive/folders/1aTOYtUnRCZO1JsK3zPoOXqg6J6gsjUbr,
76,Owl Diaries (6/12q có file nghe): ,https://drive.google.com/drive/folders/1iPpTBdZ3SNr4GtVz8kl51ICYgX1Vq3Mn,
77,The Berenstain bears (34 books): ,https://drive.google.com/open?id=1yaXUQKMhN4dw6Z6fNELxCPncP3Nx9iYW,
78,Billy and mini monster (8 books): ,https://drive.google.com/file/d/1QrhjbJeYgEB0f4m0xCY9HXsXSyC1ct80/view?usp=sharing,
79,The Land of Stories (6 books): ,https://drive.google.com/file/d/11C93EWEeBNuEA2WtY3-lZrEFeHoqt6ir/view?usp=sharing,
80,Razkid 40 quyển: ,https://drive.google.com/drive/folders/1ITCBg_jlOO3R3jOD_FhADShxNgrhyhmD?fbclid=IwAR3zMwDd__y3-xeBSWRyHcUOe1yTAC6GdDitM7DMoo1r5_QqMSsTm8HMS68,
81,Razkids Lv AA,https://drive.google.com/file/d/1zm4j9O0r5Q2XxNXvavqVqA3w1QAWRtVP/view?usp=sharing,
82,Razkids Lv A: ,https://drive.google.com/file/d/1zm4j9O0r5Q2XxNXvavqVqA3w1QAWRtVP/view?usp=sharing,
83,Razkids Lv B,https://drive.google.com/file/d/1gOqQProaN9x5vADPQdefktB185owYK2a/view,
84,Razkids Lv C,https://drive.google.com/file/d/1MB1FPP0FYhEX8khVj8qgsDRMcQ3qkNeB/view?usp=sharing,
85,Razkids Lv D,https://drive.google.com/file/d/1Iw1b7z7iCEl0Vz0wfjaqAjFSUgfVOpN-/view?usp=sharing,
86,Razkids Lv E,https://drive.google.com/file/d/1SYnmV3p5OJ5xz4sAtI9LrPYgcMorMrhK/view?usp=sharing,
87,Razkids Lv F: ,https://drive.google.com/file/d/1sEZfLLQnKuKuJtI8UXtlzqhm63J1Sfc6/view?usp=sharing,
88,Razkids Lv G: ,https://drive.google.com/file/d/1cJfl_yRoVZCtcR3Bcv6_wARHmH5WXyWX/view?usp=sharing,
89,Razkid AA - Z,https://drive.google.com/drive/u/0/folders/1YQSD_WeVZyANEwT7YqrAdUuHiqfvsPm4?fbclid=IwAR16FV83Wy8aGU1El8J4RzRevgFN_EUnsMnUs4Ch3jUT8XzDgaqFyL1SH5E,
90,Biscurt mini 12c - Chữ đỏ,https://drive.google.com/file/d/10etEAtqA2eueMJJXhvv00SGGQL5Bxf1M/view?usp=sharing,
91,Biscurt mini 12c - Chữ xanh,https://drive.google.com/file/d/1g4a_ny6Ye3pzO5iWiha2tZ96xdv_soSp/view?usp=sharing,
92,"
I can read biscuit phonic (Chữ xanh + đỏ): ","
https://drive.google.com/file/d/1OsKk7EmXVwJp4QZ_w38pxy0akV0iFZDo/view?usp=sharing
",
93,Truyện tiềm thức tiếng anh: ,https://drive.google.com/file/d/1ponuYsT77yESoyeEVgqSOYLlJUD1Q6DP/view?usp=sharing,
94,Potato12c,https://drive.google.com/file/d/15yCtP_tceKJ6qxOZm0QztvsOpTcwh3Fy/view?usp=sharing,
95,Look and Tell,https://www.makebelieveideas.com/qr-audio/look-and-tell-fairy-tales/look-and-tell-fairy-tales.mp3?fbclid=IwAR2tt7jC_mFw-CZtz0IBwrIofINstLisiIwhGfCP7H9vtqEJEpSnYx_5tOs,
96,Oxford phonics world reader 15q,https://drive.google.com/file/d/1dm1BBi_ixUEdqSby7USjYmkWKyMq2tPj/view?zarsrc=1303&fbclid=IwAR3veNWX0801WSEs8m88Kxbqef6JEIYs7dXuVxHScURuF9SV9Y-F7dt0_e0,
97,See how they grow 14q,https://drive.google.com/file/d/1az47LFOcgtLvwIpyxplkkcInM3yk2Jyx/view?usp=sharing,
98,Read and master,https://drive.google.com/file/d/1SwCrXgP_bvENizNACUKq9EiO5VpCGthv/view?usp=sharing,
99,Peppa pig in 10c,https://drive.google.com/file/d/1PNr8LzH_kIw69_ut39_f1coSaSeBfyNA/view?usp=sharing,
100,1000 useful words: ,https://drive.google.com/file/d/1M0XFSK2pD6pGfx4nyJAE0YGjqq526RT_/view?usp=sharing,
101,Reading Comprehension,https://drive.google.com/file/d/1j3Ke4jHOqBTuxavrZe3RQQfWBIj0T7RQ/view?ts=5e4bba86&fbclid=IwAR0W7jm4S0zbF8qMArPm96gy_hPdgR_vT_MBkfc2NyT7mUGCsumOdbHCeBk,
102,900 câu giao tiếp tiếng anh cùng con hàng ngày A4: ,https://drive.google.com/drive/u/0/folders/1tKdoo93OaucV8-pC8J1Ax0gq20yhehBY?fbclid=IwAR37PhFlGmQmdvYwGnjf5okWbI--U41oWrOReeqAgoPWOWF7XOJUAFf3wc4,
103,Roald DAHL,https://drive.google.com/file/d/1wtnmt_MI2k65yZjDIydMk-1kMDM5mRde/view?usp=sharing,
104,Brown bear 4q,https://drive.google.com/drive/folders/1qMuAfkRgfFgBkUGJtAse4L7sVdmWVQkz?fbclid=IwAR2TIkc_C7L5fko1pBS9hKRxYZCs42rULGHiuj5vZAb-WbP7vvt-76rgzKM,
105,Thẻ thuyết trình 11 chủ đề: ,https://drive.google.com/drive/u/0/folders/194hB4LGMpIcisePNnouzCCT0RBmVIClc?fbclid=IwAR269IDZM2_F1eRhYnBmpEcvQqPtk-eJmxwNjEknY5dASBvb5MLItLrVxio,
106,Đồng hành tiếng anh cùng con tại nhà: ,https://drive.google.com/drive/folders/1io5GypxfvTBgXcr3aICMv12gS97UMj33?usp=sharing,
107,Video Let's Read: ,https://drive.google.com/file/d/1VM9N05onpHW7eYab-ZkZnLI0PpumosYC/view?usp=sharingFile,
108,MP3 Let's Read ,https://drive.google.com/file/d/1yGaKeVdUSxZoTBTyYRkf8GPkiIPZ1xTN/view?fbclid=IwAR2j9xCyNABU42FZrxNaXM0O6KCO8zMOF4wYtuyFTxP_w_i-qwsFpc3wPzI,
109,Sight words 4 cuốn: ,https://drive.google.com/drive/u/0/folders/1QZ3sI2c8CNxDyCwCTGoKEVubSyZ6ScKg?fbclid=IwAR3Oi-qALWmTmv46WPspeK01UNBvwPDwd5KBMFdhcbu1L-qHmIyQ4xr1z9o,
110,Little Fox single story lv 1  - File Mp3,https://drive.google.com/drive/folders/1ZKUyAApR4M43B53m-MyPY1jJtFPjl9a2?fbclid=IwAR1HiVnKm2fjGnK9tSqh7NAKPSBGFPh1MZrwTC_IY-_fbEwLz_t2EdULz0g,
111,Little Fox single 3q - File Mp4,https://drive.google.com/drive/folders/1Ic-IIgtOQK2LJnx2UDppiRg2ZNsE0c51?fbclid=IwAR3qt88SBZVPFAsEXPZUM5xs3CcFlVkiraVXz018ma1F9E4l70rsLL151Uc,
112,Ket 7 quyển,https://drive.google.com/drive/folders/1uCicEro1KbVoVJe3-KAp6CsiXlVRs62i,
113,Pet 6 quyển,https://drive.google.com/drive/folders/1UEd6demqHdzfn6gLDKepz0xC8QaWxLKl,
,Pet 8 quyển,https://drive.google.com/drive/mobile/folders/129RodJtnwfjEpuL4C6w65KbmEK4Kusui?usp=sharing&fbclid=IwY2xjawE4rXlleHRuA2FlbQIxMQABHRQNX0bMGH2wzO373uYS5u74sz8G5zbMYy3y9x_M7JDm_gq9JUXLBPtvdw_aem_t-3txXxjbqeq-dKd4womLw,
114,Pet 8 quyển - 2021,https://drive.google.com/file/d/1tSUcf79-KynBJ1szOst7aWjgzB6ijpo8/view,
115,Ket - Pet mới 2021: ,"
https://www.terabox.com/vietnamese/sharing/link?surl=DdvSA-urQkjP7Z3086daKg
",
116,Toefl Primary Step 1+2,https://drive.google.com/drive/folders/0B8cvuivS561ZaGVHM3ZXbTZHX2M?resourcekey=0-svpUBQdepXg_0b8pJT8qqQ,
117,Oxford primary skill 1-2-3-4-5-6 Reading and Writing (6 quyển):  ,https://drive.google.com/drive/u/0/folders/1iCGlvUB3-WeUBiNEmbpAJQAasuTKOfzf?fbclid=IwAR3WSKW1IFwDtEF4fAl89gpDqoOVF_fIVIj4W9ymDdXgESpB-tW1FqyKm4U,
118,Super easy reading - 3 quyển,https://drive.google.com/drive/u/0/folders/1zGLTF7_MTq3gL5KAp4EggWdCjIIuhFe2?fbclid=IwAR1eY2M6_fmwjmoVBzBC1eWNghaY0bogLTEDtAZSzz7UmQqN9sOhCFh7l8o,
119,New round up trọn bộ: ,https://drive.google.com/drive/folders/11r4gQ65iI6hbUfmpucd3pxGytU8QksDa?fbclid=IwAR06n101R7jEPQLUgNc_PIyVGDWoljOYCEOGBZm37oAIJMtGS_ocg8pOWM0,
120,New Grammar Time,https://drive.google.com/drive/folders/1pibxXb1_X5x3h-rjz_yC5O_4M_5jO6CD,
121,Oxford Grammar for Schools,https://drive.google.com/drive/folders/0B-OaIF7F-pzLM3BjeEV4N2x3YXc?fbclid=IwAR3SRiKnM4QhYYylPFZBTGmUk7unJVQV7oBcPhA2eF9Op4_KKpBLPtIBX7A&resourcekey=0-C08AJ_lUFomEnSB9HhQcUQ,
122,Oxford grammar for school (Teacher book) đáp án: ,https://drive.google.com/drive/folders/1wNumkjLJy0gyKZW247W2tolIkBykEA4T?fbclid=IwAR03R4si4sDgAbu2jT0uEaGGd9_Z3cQtm0XAYjRp6wiuQyVQv31t5kbYO5,
123,Step by step listening:  ,https://drive.google.com/drive/folders/1lLCE-OayaYFJxPNPOg9B3c8Nef01iQNW?fbclid=IwAR2Oa8W3O9huUax5ipqPzIHq5qJtvKeTAMNLzUeAX3VcSbmhMc6MhzERxvM,
124,More step by step listening,https://m.box.com/shared_item/https%3A%2F%2Fapp.box.com%2Fs%2Folfjr4osley7oy5s67n9/browse/5431896566?fbclid=IwAR18OOiwrF6BPMGAt6XFcIBTYxJw27gsS9oAvlqZZZR9D0ir-IzmuWxcnbY,
125,Get ready for Starter,https://drive.google.com/drive/folders/1DMqB8NwzowpP2kjcaXc8xHwgEPQXZei9,
126,Get ready for Movers,https://drive.google.com/drive/folders/1OokxT_jRG-1xuQnLNPDViD_0H7aSAfvq,
127,Get ready for Flyers ,https://drive.google.com/drive/folders/1D9ms_dXeJc_yXSI6BOdADDw77N4pe4Q5,
128,Fun for Starters: ,https://drive.google.com/drive/folders/1hyjox4fwf4K7oiWC3lwllgfB10oqzz9U,
129,Fun for Movers,https://drive.google.com/drive/folders/12rZfY51POmYMOsWem5PXsUOeaJwnAbML,
130,Fun for Flyers,https://drive.google.com/drive/folders/1AhQfeHoMOHrxP3bchv8bPcK85n9eHpLl,
131,Movers bộ 9 quyển 2017: ,https://drive.google.com/drive/folders/13wnFXVGypmb7gi1w4T5ZNmAdoHMEHoso?usp=sharing,up lại
,bộ starter 9 cuốn 2017 đủ key,https://drive.google.com/drive/folders/1279ah5gnFmLvw92AFutghVIXBUEgdg8Z?usp=sharing,up lại
132,Flyer 1-9 2017,https://drive.google.com/drive/folders/1fZJAFlOLswMRi_N5xGEYSHVpKtj_XjIG?usp=sharing,up lại
133,Bộ đề Starter 3 cuốn ,https://drive.google.com/drive/u/0/folders/1q8z_CX9e9vSUTHoGmazQg-kYz_6exJmw,
134,Bộ đề Flyer 3 cuốn ,https://drive.google.com/drive/folders/1Bf0_7yFF76j-GCBe6-dc3JEEtDxsyBtW,
135,Bộ đề Mover 3 cuốn,https://drive.google.com/drive/folders/1pDkkK73l2FsO1pvhYBDem0dPbDshgGca,
136,"Bộ starter, mover, flyer in ghép 1234",https://drive.google.com/drive/folders/1WmTGTFyw7zRbbvlcbSKlTIaMPIfhgO8R?usp=sharing,up lại
,Starter ghép 1234 có key ,https://drive.google.com/drive/folders/1kuQf5vBCirT-ECk1NnY61J9j20u_AFoD,
,Mover ghép 1234 có key ,,
,Flyer ghép 1234 có key ,https://drive.google.com/drive/folders/13QHYAkM6r4TmOC5WwqwxlaGdvH7rGikH?usp=sharing,
,"Starter 2017,2018, 2019",https://drive.google.com/drive/u/0/folders/1tjceQ9_RZrJiZIK47cCIIio2Y-W_yhHT?zarsrc=1303,
,"Mover 2017,2018, 2019",https://drive.google.com/drive/mobile/folders/1X2mL-utHSIo0z2B8H506S6IYnXSe_pJG?usp=sharing&zarsrc=1303&utm_source=zalo&utm_medium=zalo&utm_campaign=zalo,
,"Flyer  2017,2018, 2019",https://drive.google.com/drive/folders/1_dnUKSSj7IGeBTQ3oYuE52U6gxeDpiSh?zarsrc=1303,
137,Oxford skill world Listening with speaking 6q ,https://drive.google.com/drive/folders/1RzVPeirlwl4MDVRWSkj296aP0QuPYL-b,
138,English for Everyone Junior - 5 words a day (MK: gõ chữ : UK): ,https://www.dkefe.com/junior/en-gb/ageGate,
139,My First Grammar 123 (6 quyển): ,https://drive.google.com/drive/u/0/folders/0B7-ytfJj86LsTnNwQTgybllveVE?resourcekey=0-xF-Wpkgngo5gDZwHw5w9hg&fbclid=IwAR07L3O1TeVDHMZZOYRO2V-dTB6Fp8XTKuftED6hHmNBxcNoJUuqDavBgCk,
140,Basic Reading 200 (SB+Wb in gộp 6 quyển vào 3q): ,https://drive.google.com/file/d/1Crgw4jjqDv0do70la_9gAN-340n4ZTeO/view?usp=sharing,
141,Basic Reading 400 (SB+Wb in gộp 6 quyển vào 3q): ,https://drive.google.com/file/d/1SGHC0h0KDvFqkBKVM6u1OoYNiNNmiArK/view?usp=sharing,
142,Basic Reading 800 (SB+Wb in gộp 6 quyển vào 3q): ,https://drive.google.com/file/d/1paH2sOVUuGmk975GDAtlfPeupS-SJCHt/view?usp=sharing,
